Gene	Entrez Gene Name	Location	Type(s)
Scn1a	sodium voltage-gated channel alpha subunit 1	Plasma Membrane	ion channel
Scn1b	sodium voltage-gated channel beta subunit 1	Plasma Membrane	ion channel
Scn2a	sodium voltage-gated channel alpha subunit 2	Plasma Membrane	ion channel
Scn3a	sodium voltage-gated channel alpha subunit 3	Plasma Membrane	ion channel
Scn3b	sodium voltage-gated channel beta subunit 3	Plasma Membrane	ion channel
Scn4a	sodium voltage-gated channel alpha subunit 4	Plasma Membrane	ion channel
Scn4b	sodium voltage-gated channel beta subunit 4	Plasma Membrane	ion channel
Scn5a	sodium voltage-gated channel alpha subunit 5	Plasma Membrane	ion channel
Scn7a	sodium voltage-gated channel alpha subunit 7	Plasma Membrane	ion channel
Scn8a	sodium voltage-gated channel alpha subunit 8	Plasma Membrane	ion channel
Scn9a	sodium voltage-gated channel alpha subunit 9	Plasma Membrane	ion channel
Scnn1a	sodium channel epithelial 1 subunit alpha	Plasma Membrane	ion channel
Scnn1b	sodium channel epithelial 1 subunit beta	Plasma Membrane	ion channel
Scnn1g	sodium channel epithelial 1 subunit gamma	Plasma Membrane	ion channel
Sema5a	semaphorin 5A	Plasma Membrane	transmembrane receptor
Serpinb2	serpin family B member 2	Extracellular Space	other
Serpinf1	serpin family F member 1	Extracellular Space	other
Slc17a6	solute carrier family 17 member 6	Plasma Membrane	transporter
Slc17a8	solute carrier family 17 member 8	Plasma Membrane	transporter
Slc32a1	solute carrier family 32 member 1	Plasma Membrane	transporter
Sncg	synuclein gamma	Cytoplasm	other
Sstr1	somatostatin receptor 1	Plasma Membrane	G-protein coupled receptor
Sstr2	somatostatin receptor 2	Plasma Membrane	G-protein coupled receptor
Sstr3	somatostatin receptor 3	Plasma Membrane	G-protein coupled receptor
Sstr4	somatostatin receptor 4	Plasma Membrane	G-protein coupled receptor
Sstr5	somatostatin receptor 5	Plasma Membrane	G-protein coupled receptor
Stim2	stromal interaction molecule 2	Plasma Membrane	transporter
Syt6	synaptotagmin 6	Cytoplasm	transporter
Tac1	tachykinin precursor 1	Extracellular Space	other
Tacr1	tachykinin receptor 1	Plasma Membrane	G-protein coupled receptor
Tacr2	tachykinin receptor 2	Plasma Membrane	G-protein coupled receptor
Tacr3	tachykinin receptor 3	Plasma Membrane	G-protein coupled receptor
Tcap	titin-cap	Cytoplasm	other
Tcerg1l	transcription elongation regulator 1 like	Other	other
Th	tyrosine hydroxylase	Cytoplasm	enzyme
Tm4sf1	transmembrane 4 L six family member 1	Plasma Membrane	other
Tmem100	transmembrane protein 100	Plasma Membrane	other
Tnnt1	troponin T1, slow skeletal type	Cytoplasm	other
Tshz1	teashirt zinc finger homeobox 1	Nucleus	transcription regulator
Tshz2	teashirt zinc finger homeobox 2	Nucleus	transcription regulator
Vegfd	vascular endothelial growth factor D	Extracellular Space	growth factor
Vipr1	vasoactive intestinal peptide receptor 1	Plasma Membrane	G-protein coupled receptor
Vipr2	vasoactive intestinal peptide receptor 2	Plasma Membrane	G-protein coupled receptor
Wnt5a	Wnt family member 5A	Extracellular Space	cytokine
